Watching for file changes with StatReloader
Not Found: /main.a32ff8c6f64b9d813142.hot-update.json
HTTP GET /static/admin/css/forms.css 304 [0.14, 127.0.0.1:54965]
HTTP GET /static/admin/js/vendor/jquery/jquery.js 304 [0.11, 127.0.0.1:54962]
HTTP GET /static/admin/js/jquery.init.js 304 [0.11, 127.0.0.1:54966]
HTTP GET /static/admin/js/core.js 304 [0.07, 127.0.0.1:54963]
HTTP GET /static/admin/js/admin/RelatedObjectLookups.js 304 [0.24, 127.0.0.1:54966]
HTTP GET /static/admin/js/prepopulate.js 304 [0.23, 127.0.0.1:54964]
HTTP GET /static/admin/js/actions.js 304 [0.24, 127.0.0.1:54962]
HTTP GET /static/admin/js/urlify.js 304 [0.10, 127.0.0.1:54963]
HTTP GET /static/admin/js/vendor/xregexp/xregexp.js 304 [0.11, 127.0.0.1:54965]
HTTP GET /static/admin/img/search.svg 304 [0.06, 127.0.0.1:54965]
HTTP GET /static/admin/css/widgets.css 304 [0.17, 127.0.0.1:54966]
HTTP GET /static/admin/js/filters.js 304 [0.14, 127.0.0.1:54966]
HTTP GET /admin/jsi18n/ 200 [1.15, 127.0.0.1:54925]
HTTP GET /static/admin/img/sorting-icons.svg 304 [0.05, 127.0.0.1:54966]
HTTP GET /static/admin/img/tooltag-add.svg 304 [0.10, 127.0.0.1:54925]
HTTP GET /static/admin/img/icon-viewlink.svg 304 [0.06, 127.0.0.1:54925]
HTTP GET /users_api/me/ 200 [1.01, 127.0.0.1:52930]
HTTP GET /users_api/me/ 200 [0.74, 127.0.0.1:52930]
HTTP GET /echo_api/my/echos/ 200 [0.75, 127.0.0.1:52937]
HTTP GET /echo_api/feed/posts/ 200 [1.24, 127.0.0.1:52936]
HTTP GET /echo_api/my/echos/ 200 [1.25, 127.0.0.1:52936]
HTTP GET /echo_api/my/echos/ 200 [0.44, 127.0.0.1:52937]
HTTP GET /echo_api/my/echos/ 200 [0.50, 127.0.0.1:52936]
HTTP GET /echo_api/my/echos/ 200 [0.92, 127.0.0.1:52937]
HTTP GET /friends_api/friends/ 200 [0.51, 127.0.0.1:52937]
HTTP GET /messenger_api/chats/ 200 [0.54, 127.0.0.1:53291]
HTTP GET /messenger_api/chats/ 200 [0.54, 127.0.0.1:53291]
HTTP GET /messenger_api/chats/ 200 [0.54, 127.0.0.1:53291]
HTTP GET /messenger_api/chats/15/messages/ 200 [0.55, 127.0.0.1:53302]
HTTP GET /messenger_api/chats/ 200 [0.41, 127.0.0.1:53291]
HTTP GET /messenger_api/chats/ 200 [0.50, 127.0.0.1:53291]
HTTP GET /messenger_api/chats/15/messages/ 200 [0.32, 127.0.0.1:53291]
HTTP OPTIONS /messenger_api/chats/14/messages/ 200 [0.18, 127.0.0.1:53291]
HTTP GET /messenger_api/chats/ 200 [0.54, 127.0.0.1:53302]
HTTP GET /messenger_api/chats/14/messages/ 200 [0.53, 127.0.0.1:53291]
HTTP GET /messenger_api/chats/ 200 [0.52, 127.0.0.1:53302]
HTTP GET /messenger_api/chats/ 200 [0.60, 127.0.0.1:53302]
HTTP GET /messenger_api/chats/14/messages/ 200 [0.36, 127.0.0.1:53291]
HTTP GET /messenger_api/chats/15/messages/ 200 [0.63, 127.0.0.1:53302]
HTTP GET /messenger_api/chats/ 200 [0.65, 127.0.0.1:53291]
HTTP GET /messenger_api/chats/ 200 [0.84, 127.0.0.1:53291]
HTTP GET /messenger_api/chats/ 200 [0.46, 127.0.0.1:53291]
HTTP GET /messenger_api/chats/15/messages/ 200 [0.34, 127.0.0.1:53302]
HTTP GET /friends_api/friends/ 200 [0.75, 127.0.0.1:49557]
HTTP GET /friends_api/friends/ 200 [0.31, 127.0.0.1:62883]
HTTP GET /friends_api/friends/ 200 [0.52, 127.0.0.1:62883]
HTTP GET /users_api/me/ 200 [0.45, 127.0.0.1:62895]
HTTP GET /users_api/me/ 200 [0.23, 127.0.0.1:62895]
HTTP GET /users_api/me/ 200 [0.27, 127.0.0.1:62895]
HTTP GET /users_api/me/ 200 [0.35, 127.0.0.1:62895]
HTTP GET /users_api/me/ 200 [0.29, 127.0.0.1:62895]
HTTP GET /users_api/me/ 200 [0.36, 127.0.0.1:62883]
HTTP POST /users_api/check-nickname/ 200 [0.41, 127.0.0.1:62883]
HTTP PUT /users_api/me/ 200 [0.44, 127.0.0.1:62895]
HTTP GET /users_api/me/ 200 [0.41, 127.0.0.1:62895]
HTTP GET /users_api/me/ 200 [0.44, 127.0.0.1:62895]
HTTP GET /users_api/me/ 200 [0.32, 127.0.0.1:62895]
HTTP GET /users_api/me/ 200 [0.29, 127.0.0.1:62895]
HTTP GET /users_api/me/ 200 [0.18, 127.0.0.1:62895]
HTTP GET /users_api/me/ 200 [0.31, 127.0.0.1:62895]
HTTP GET /users_api/me/ 200 [0.20, 127.0.0.1:62895]
HTTP GET /users_api/me/ 200 [0.34, 127.0.0.1:62895]
HTTP GET /users_api/me/ 200 [0.23, 127.0.0.1:62895]
HTTP GET /users_api/me/ 200 [0.33, 127.0.0.1:62895]
HTTP GET /users_api/me/ 200 [0.40, 127.0.0.1:62895]
HTTP GET /users_api/me/ 200 [0.33, 127.0.0.1:62948]
HTTP POST /users_api/check-nickname/ 200 [0.56, 127.0.0.1:62948]
HTTP PUT /users_api/me/ 200 [0.44, 127.0.0.1:62895]
HTTP GET /users_api/me/ 200 [0.63, 127.0.0.1:62895]
HTTP GET /users_api/me/ 200 [0.46, 127.0.0.1:62895]
HTTP GET /users_api/me/ 200 [0.28, 127.0.0.1:62895]
HTTP GET /users_api/me/ 200 [0.47, 127.0.0.1:62895]
HTTP GET /users_api/me/ 200 [0.62, 127.0.0.1:62895]
HTTP GET /users_api/me/ 200 [0.50, 127.0.0.1:62895]
HTTP GET /users_api/me/ 200 [0.41, 127.0.0.1:62895]
HTTP GET /users_api/me/ 200 [0.58, 127.0.0.1:62895]
HTTP GET /users_api/me/ 200 [0.86, 127.0.0.1:62895]
HTTP GET /users_api/me/ 200 [0.61, 127.0.0.1:62895]
HTTP GET /users_api/me/ 200 [0.40, 127.0.0.1:62895]
HTTP GET /users_api/me/ 200 [0.31, 127.0.0.1:62895]
HTTP GET /users_api/me/ 200 [0.46, 127.0.0.1:62895]
HTTP GET /users_api/me/ 200 [0.26, 127.0.0.1:62895]
HTTP GET /users_api/me/ 200 [0.29, 127.0.0.1:62895]
HTTP GET /users_api/me/ 200 [0.21, 127.0.0.1:62895]
HTTP GET /users_api/me/ 200 [0.26, 127.0.0.1:62895]
HTTP GET /users_api/me/ 200 [0.26, 127.0.0.1:62895]
HTTP GET /users_api/me/ 200 [0.31, 127.0.0.1:62895]
HTTP GET /users_api/me/ 200 [0.52, 127.0.0.1:62895]
HTTP GET /users_api/me/ 200 [0.31, 127.0.0.1:62895]
HTTP GET /users_api/me/ 200 [0.43, 127.0.0.1:62895]
HTTP GET /users_api/me/ 200 [0.26, 127.0.0.1:62895]
HTTP GET /users_api/me/ 200 [0.25, 127.0.0.1:62895]
HTTP GET /users_api/me/ 200 [0.27, 127.0.0.1:62895]
HTTP GET /users_api/me/ 200 [0.40, 127.0.0.1:62895]
HTTP GET /users_api/me/ 200 [0.24, 127.0.0.1:62895]
HTTP GET /users_api/me/ 200 [0.25, 127.0.0.1:62895]
HTTP GET /users_api/me/ 200 [0.31, 127.0.0.1:62895]
HTTP GET /users_api/me/ 200 [0.30, 127.0.0.1:62895]
HTTP GET /users_api/me/ 200 [0.27, 127.0.0.1:62895]
HTTP GET /users_api/me/ 200 [0.25, 127.0.0.1:62895]
HTTP GET /users_api/me/ 200 [0.29, 127.0.0.1:62895]
